Mortalidade proporcional não ajustada por todas as neoplasias, homens e mulheres, Brasil,  entre 1979 e 2023.

ANO;OBITO_TOTAL;OBITO_CANCER;PERCENTUAL
1979;711742;56319;7,91
1980;750727;59748;7,96
1981;750276;61726;8,23
1982;741614;63555;8,57
1983;771203;66168;8,58
1984;809825;67808;8,37
1985;788231;69823;8,86
1986;811556;72656;8,95
1987;799621;75089;9,39
1988;834338;77372;9,27
1989;815774;78535;9,63
1990;817284;80844;9,89
1991;803836;83577;10,40
1992;827652;87975;10,63
1993;878106;90370;10,29
1994;887594;93865;10,58
1995;893877;96494;10,79
1996;908883;102034;11,23
1997;903516;106133;11,75
1998;931895;109949;11,80
1999;938658;114466;12,19
2000;946686;119336;12,61
2001;961492;124108;12,91
2002;982807;128457;13,07
2003;1002340;133332;13,30
2004;1024073;139458;13,62
2005;1006827;145794;14,48
2006;1031691;153478;14,88
2007;1047824;159092;15,18
2008;1077007;165173;15,34
2009;1103088;169571;15,37
2010;1136947;176228;15,50
2011;1170498;181575;15,51
2012;1181166;188476;15,96
2013;1210474;193913;16,02
2014;1227039;199167;16,23
2015;1264175;206833;16,36
2016;1309774;212284;16,21
2017;1312663;218649;16,66
2018;1316719;224727;17,07
2019;1349801;232040;17,19
2020;1556824;225839;14,51
2021;1832649;231713;12,64
2022;1544266;239644;15,52
2023;1465610;251073;17,13
